Surface_Code,Court_Code,Series_Code,Round_Code,Best of,Rank_1,Rank_2,Rank_Diff
1,0,2,0,5,133,111,-22
3,0,6,0,3,90,42,-48
1,0,0,0,3,123,93,-30
1,0,1,0,3,105,77,-28
3,0,3,6,3,75,46,-29
1,0,6,3,3,16,4,-12
3,0,2,3,5,22,8,-14
3,0,5,1,3,64,3,-61
1,0,5,1,3,41,35,-6
2,0,0,0,3,25,123,98
3,1,1,1,3,20,43,23
1,0,0,4,3,31,44,13
3,0,6,1,3,21,62,41
1,0,3,0,3,97,100,3
3,1,6,0,3,20,31,11
3,0,5,0,3,85,39,-46
2,0,2,0,5,44,221,177
1,0,3,0,3,91,94,3
3,0,2,2,5,6,30,24
2,0,2,0,5,228,20,-208
3,1,0,7,3,10,50,40
3,0,2,0,5,96,79,-17
3,0,6,1,3,92,7,-85
1,0,4,0,3,158,28,-130
3,1,0,1,3,10,79,69
3,0,0,4,3,41,37,-4
1,0,0,1,3,84,37,-47
3,1,0,1,3,121,47,-74
1,0,0,0,3,918,80,-838
2,0,3,1,3,50,80,30
1,0,5,1,3,29,4,-25
3,0,6,0,3,40,42,2
3,0,2,0,5,7,34,27
3,1,5,1,3,44,13,-31
1,0,3,4,3,37,16,-21
3,0,1,0,3,56,82,26
3,0,3,4,3,88,23,-65
3,0,0,0,3,40,21,-19
3,0,1,4,3,39,7,-32
3,0,2,0,5,288,122,-166
1,0,0,4,3,34,57,23
3,0,6,4,3,17,23,6
2,0,2,0,5,146,82,-64
1,0,3,0,3,175,14,-161
3,1,1,7,3,46,24,-22
1,0,1,0,3,43,44,1
2,0,0,0,3,42,50,8
3,0,1,1,3,52,33,-19
3,0,1,1,3,27,5,-22
1,0,3,4,3,17,27,10
3,1,3,0,3,196,10,-186
2,0,2,1,5,80,101,21
1,0,6,4,3,36,7,-29
3,0,5,1,3,28,48,20
2,0,3,1,3,91,362,271
1,0,3,0,3,304,348,44
3,0,2,0,5,66,185,119
3,0,5,0,3,74,192,118
1,0,3,0,3,98,87,-11
3,1,0,0,3,73,145,72
3,1,0,1,3,40,61,21
3,0,6,1,3,18,154,136
3,0,4,2,3,300,140,-160
3,0,2,1,5,14,218,204
3,1,6,1,3,11,29,18
2,0,0,4,3,116,102,-14
3,0,2,1,5,47,8,-39
1,0,0,4,3,70,1,-69
3,1,3,6,3,99,10,-89
2,0,3,1,3,107,76,-31
1,0,4,0,3,235,59,-176
3,0,1,0,3,7,46,39
1,0,3,0,3,586,96,-490
3,1,0,6,3,33,47,14
3,0,4,1,3,68,108,40
2,0,2,1,5,33,95,62
1,0,6,2,3,52,9,-43
3,0,5,4,3,64,35,-29
1,0,0,1,3,104,50,-54
1,0,1,0,3,24,113,89
1,0,0,6,3,32,208,176
1,0,0,1,3,131,103,-28
3,0,0,0,3,190,40,-150
3,0,5,0,3,38,404,366
1,0,2,0,5,157,91,-66
3,0,1,0,3,42,5,-37
2,0,3,1,3,176,25,-151
1,0,5,4,3,31,20,-11
3,0,0,0,3,59,272,213
3,1,6,0,3,15,30,15
3,0,2,0,5,14,70,56
2,0,2,6,5,125,11,-114
3,0,6,2,3,7,16,9
1,0,6,1,3,113,21,-92
2,0,0,0,3,34,180,146
3,0,6,0,3,19,47,28
2,0,2,0,5,67,121,54
3,0,0,0,3,145,112,-33
1,0,0,0,3,78,67,-11
0,1,3,0,3,46,27,-19
2,0,0,0,3,218,335,117
3,0,1,2,3,86,53,-33
3,1,4,1,3,58,4,-54
1,0,2,3,5,23,125,102
2,0,2,0,5,174,105,-69
3,0,5,0,3,37,33,-4
1,0,4,0,3,50,80,30
1,0,0,1,3,15,96,81
1,0,2,0,5,5,58,53
1,0,0,6,3,24,134,110
1,0,3,1,3,52,240,188
2,0,3,0,3,67,128,61
3,0,6,0,3,14,101,87
2,0,3,1,3,104,7,-97
3,1,0,0,3,126,101,-25
3,1,6,0,3,43,10,-33
2,0,3,0,3,64,12,-52
1,0,5,1,3,17,49,32
1,0,4,2,3,71,31,-40
3,1,0,1,3,68,92,24
1,0,0,0,3,26,95,69
1,0,3,0,3,54,59,5
1,0,4,1,3,4,335,331
1,0,2,0,5,43,28,-15
3,0,2,2,5,24,4,-20
